Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Latest Summary,Amendment Text (Latest)
H.J.Res. 75,https://www.congress.gov/bill/117th-congress/house-joint-resolution/75,117th Congress (2021-2022),"Extension of Continuing Appropriations Act, 2022","DeLauro, Rosa L. [Rep.-D-CT-3]",Democratic,03/08/2022,Became Public Law No: 117-95.,03/11/2022,"<p><strong>Extension of Continuing Appropriations Act, 2022</strong></p> <p>This joint resolution provides continuing FY2022 appropriations to federal agencies through March 15, 2022. It is known as a continuing resolution (CR) and prevents a government shutdown that would otherwise occur if the FY2022 appropriations bills have not been enacted when the existing CR expires on March 11, 2022.</p> <p>The joint resolution also (1) extends the temporary scheduling order issued by the Drug Enforcement Administration to place fentanyl-related substances in Schedule I of the Controlled Substances Act, and (2) increases the limit on the value of the defense articles and services that the President is authorized to draw down to address unforeseen emergencies.</p>",
H.J.Res. 27,https://www.congress.gov/bill/117th-congress/house-joint-resolution/27,117th Congress (2021-2022),Providing for the appointment of Barbara Barrett as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Matsui, Doris O. [Rep.-D-CA-6]",Democratic,02/25/2021,Became Public Law No: 117-19.,06/23/2021, <p>This joint resolution appoints Barbara M. Barrett as a citizen regent of the Board of Regents of the Smithsonian Institution. </p>,
S. 5329,https://www.congress.gov/bill/117th-congress/senate-bill/5329,117th Congress (2021-2022),"A bill to amend the Bill Emerson Good Samaritan Food Donation Act to improve the program, and for other purposes.","Blumenthal, Richard [Sen.-D-CT]",Democratic,12/20/2022,Became Public Law No: 117-362.,01/05/2023," <p>This act expands liability protections for the donation of food and grocery products.</p> <p>Specifically, the act expands the liability protections to include donations of an apparently fit grocery product or apparently wholesome food</p> <ul> <li>for which the recipient is charged a <i>good Samaritan reduced</i> price that is no greater than the cost of handling, administering, harvesting, processing, packaging, transporting, and distributing the food or product; or</li> <li>that is donated directly to a needy individual at zero cost by a retail grocer, wholesaler, agricultural producer, agricultural processor, agricultural distributor, restaurant, caterer, school food authority, or institution of higher education.</li> </ul>",
S. 5328,https://www.congress.gov/bill/117th-congress/senate-bill/5328,117th Congress (2021-2022),A bill to amend the Farm Security and Rural Investment Act of 2002 to extend terminal lakes assistance.,"Cortez Masto, Catherine [Sen.-D-NV]",Democratic,12/20/2022,Became Public Law No: 117-361.,01/05/2023,"<p>This act extends through October 1, 2025, authority to provide terminal lakes assistance.</p>",
S. 5230,https://www.congress.gov/bill/117th-congress/senate-bill/5230,117th Congress (2021-2022),Billy's Law,"Murphy, Christopher [Sen.-D-CT]",Democratic,12/08/2022,Became Public Law No: 117-327.,12/27/2022," <p><b>Billy's Law or the Help Find the Missing Act</b></p> <p>This act provides statutory authority for the Department of Justice (DOJ) to maintain the National Missing and Unidentified Persons System (NamUs) consistent with its existing purpose and structure.</p> <p>NamUs is a national information clearinghouse and resource center for cases involving missing persons and unidentified or unclaimed remains. NamUs is administered by the National Institute of Justice within DOJ.</p> <p>The act also establishes new requirements.</p> <p>First, it requires a law enforcement agency that submits a missing child report to the National Crime Information Center (NCIC) to also submit the missing child report to NamUs. The NCIC is a computerized index of criminal justice data and files for reports of missing and unidentified persons. Current law requires law enforcement agencies to submit missing child reports to the NCIC database but not to the NamUs databases.</p> <p>Second, the act establishes requirements to facilitate data sharing between the NCIC database and the NamUs databases with respect to missing and unidentified persons.</p> <p>Specifically, the act requires DOJ to give the National Institute of Justice access to the NCIC missing person and unidentified person records for the purpose of validating cases and reconciling data with NamUs. </p> <p>Additionally, the act requires DOJ to assess the NCIC and NamUs systems and governing statutes, policies, and procedures and create a plan for NCIC to automatically transmit certain records to NamUs.</p> <p>Third, the act requires DOJ to report to forensic medicine service providers and law enforcement agencies on best practices for collecting, reporting, and analyzing data and information on missing persons and unidentified human remains.</p> <p>DOJ must also report to Congress biennially on the status of the NCIC database and the NamUs databases. The report must describe the process of information sharing between the NCIC database and NamUs databases.</p>",
S. 5229,https://www.congress.gov/bill/117th-congress/senate-bill/5229,117th Congress (2021-2022),"A bill to direct the Joint Committee of Congress on the Library to remove the bust of Roger Brooke Taney in the Old Supreme Court Chamber of the Capitol and to obtain a bust of Thurgood Marshall for installation in the Capitol or on the Capitol Grounds, and for other purposes.","Cardin, Benjamin L. [Sen.-D-MD]",Democratic,12/08/2022,Became Public Law No: 117-326.,12/27/2022," <p>This act directs the Joint Committee on the Library to remove the bust of Roger Brooke Taney in the Old Supreme Court chamber of the Capitol and install a bust of Thurgood Marshall in a prominent location in the Capitol or on the Capitol Grounds.</p> <p>In determining the location for the permanent installation of the bust of Thurgood Marshall, the committee shall give priority to identifying an appropriate location near the Old Supreme Court Chamber of the Capitol.</p>",
S. 5168,https://www.congress.gov/bill/117th-congress/senate-bill/5168,117th Congress (2021-2022),Energy Security and Lightering Independence Act of 2022,"Padilla, Alex [Sen.-D-CA]",Democratic,12/01/2022,Became Public Law No: 117-360.,01/05/2023,"<p><b>Energy Security and Lightering Independence Act of 2022</b></p> <p>This bill authorizes an alien crewman to obtain a permit to land in the United States for up to 180 days if, during this period, the crewman will perform ship-to-ship liquid cargo transfer operations involving a vessel engaged in foreign trade. Currently, an alien crewman may obtain a permit to land for up to 29 days.</p>",
S. 5087,https://www.congress.gov/bill/117th-congress/senate-bill/5087,117th Congress (2021-2022),"A bill to amend the Not Invisible Act of 2019 to extend, and provide additional support for, the activities of the Department of the Interior and the Department of Justice Joint Commission on Reducing Violent Crime Against Indians, and for other purposes.","Murkowski, Lisa [Sen.-R-AK]",Republican,11/15/2022,Became Public Law No: 117-359.,01/05/2023,"<p>This act makes changes to the Joint Commission on Reducing Violent Crime Against Indians, which was established to increase intergovernmental coordination to identify and combat violent crime within Indian lands and against Indians.</p> <p>Specifically, the act extends the joint commission for an additional 18 months. It also extends the deadline, from 18 months to 36 months, for the joint commission to make publicly available and submit recommendations to the Department of the Interior, the Department of Justice, and specified congressional committees.</p> <p>Additionally, the act allows the joint commission to accept and use gifts or donations of services or property from Indian tribes or tribal entities, academic institutions, or other not-for-profit organizations.</p>",
S. 5066,https://www.congress.gov/bill/117th-congress/senate-bill/5066,117th Congress (2021-2022),Don Young Recognition Act,"Murkowski, Lisa [Sen.-R-AK]",Republican,09/29/2022,Became Public Law No: 117-358.,01/05/2023,"<p><strong>Don Young Recognition Act</strong></p> <p>This act designates (1) the volcanic peak known as Mount Cerberus as Mount Young; (2) the Jobs Corps center located at 800 East Lynn Martin Drive in Palmer, Alaska, as the Don Young Alaska Job Corps Center; and (3) the federal office building located at 101 12th Avenue in Fairbanks, Alaska, as the Don Young Federal Office Building.</p>",
S. 5060,https://www.congress.gov/bill/117th-congress/senate-bill/5060,117th Congress (2021-2022),Paul D. Wellstone Building Act of 2022,"Klobuchar, Amy [Sen.-D-MN]",Democratic,09/29/2022,Became Public Law No: 117-242.,12/20/2022,"<p><strong>Paul D. Wellstone Building Act of 2022</strong></p> <p>This act designates the federal building located at 212 Third Avenue South in Minneapolis, Minnesota, as the Paul D. Wellstone Federal Building.</p>",
S. 5016,https://www.congress.gov/bill/117th-congress/senate-bill/5016,117th Congress (2021-2022),Colonel Mary Louise Rasmuson Campus of the Alaska VA Healthcare System Act of 2022,"Murkowski, Lisa [Sen.-R-AK]",Republican,09/29/2022,Became Public Law No: 117-357.,01/05/2023,"<p><b>Colonel Mary Louise Rasmuson Campus of the Alaska VA Healthcare System Act of 2022</b></p> <p>This act designates the medical center of the Department of Veterans Affairs in Anchorage, Alaska, as the Colonel Mary Louise Rasmuson Campus of the Alaska VA Healthcare System.</p>",
S. 4978,https://www.congress.gov/bill/117th-congress/senate-bill/4978,117th Congress (2021-2022),State Offices of Rural Health Program Reauthorization Act of 2022,"Barrasso, John [Sen.-R-WY]",Republican,09/28/2022,Became Public Law No: 117-356.,01/05/2023,<p><strong>State Offices of Rural Health Program Reauthorization Act of 2022</strong></p> <p>This act reauthorizes through FY2027 grants awarded to state offices of rural health for improving health care in rural areas.</p>,
S. 4949,https://www.congress.gov/bill/117th-congress/senate-bill/4949,117th Congress (2021-2022),National Cemeteries Preservation and Protection Act of 2022,"Tester, Jon [Sen.-D-MT]",Democratic,09/27/2022,Became Public Law No: 117-355.,01/05/2023,"<p><b>National Cemeteries Preservation and Protection Act of 2022</b></p> <p>This act addresses the administration and jurisdiction of national cemeteries. </p> <p>Specifically, the act requires the Department of Veterans Affairs (VA) to pay a plot or interment allowance for a veteran if the veteran was buried before March 15, 2022, in a cemetery on trust land owned by, or held in trust for, a tribal organization, and the organization that maintains or operates the cemetery applies for such allowance. Such allowance is only authorized if a plot or interment allowance was not already paid for the burial of such veteran.</p> <p>The act also authorizes the VA to designate green burial sections in national cemeteries (i.e., sections of cemeteries in which the remains of individuals have been prepared for interment in a manner not involving chemicals or embalming fluids and have been interred in a natural manner or completely biodegradable burial receptacle).</p> <p>The act authorizes the Department of the Army to transfer certain lands to the VA to expand the Fort Bliss National Cemetery. </p> <p>In addition, the act authorizes the Department of the Interior to transfer certain land to the VA for the land to be used as a national cemetery. </p> <p>Finally, the act prohibits persons who have committed certain crimes from being interred or memorialized in a cemetery in the National Cemetery Administration or in Arlington National Cemetery.",
