Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Summary
H.R. 4281,https://www.congress.gov/bill/112th-congress/house-bill/4281,112th Congress (2011-2012),Surface Transportation Extension Act of 2012,"Mica, John L. [Rep.-R-FL-7]",Republican,03/28/2012,"<p><b>(This measure has not been amended since it was introduced. The expanded summary of the House passed version is repeated here.)</b></p> <p>Surface Transportation Extension Act of 2012 - (Sec. 1) Directs the Secretary of Transportation (DOT) to reduce the amount apportioned or allocated for a surface transportation program, project, or activity for FY2012 by amounts apportioned or allocated under the Surface Transportation Extension Act of 2011, Part II for the period from October 1, 2011, through March 31, 2012.</p> <p><b>Title I: Federal-Aid Highways</b> - (Sec. 101) Amends the Surface Transportation Extension Act of 2011, Part II to continue through June 30, 2012, and authorizes appropriations through that date for, specified federal-aid highway programs under the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users (SAFETEA-LU), the SAFETEA-LU Technical Corrections Act of 2008, the Intermodal Surface Transportation Efficiency Act of 1991 (ISTEA), and the Transportation Equity Act for the 21st Century. Includes among extended funds those for: (1) the surface transportation research, development, and deployment program; (2) training and education; (3) the Bureau of Transportation Statistics; (4) university transportation research; and (5) intelligent transportation systems (ITS) research. </p> <p>Subjects funding for such programs generally to the same manner of distribution, administration, limitation, and availability for obligation, however, at three-quarters of the total amount, as funds authorized to be appropriated for such programs and activities out of the Highway Trust Fund (HTF) for FY2011. </p> <p>Subjects contract authority for such programs between October 1, 2011, and June 30, 2012, however, to a specified pro rata limitation on obligations included in any Act making appropriations for FY2012 or a portion of that fiscal year. Waives this obligation limitation, though, for emergency relief and for the equity bonus program. </p> <p>Extends the allocation of certain transportation program funds to: (1) states for specific programs, including the Interstate and National Highway System program, the Congestion Mitigation and Air Quality Improvement program, the highway safety improvement program, the Surface Transportation program, and the Highway Bridge program; and (2) the territories and Puerto Rico. Prohibits use of program funds for a high-speed MAGLEV system between Las Vegas, Nevada, and Anaheim, California. </p> <p>Authorizes appropriations from the HTF (other than the Mass Transit Account) for administrative expenses of the federal-aid highway program for the period from October 1, 2011, through June 30, 2012.</p> <p><b>Title II: Extension of Highway Safety Programs</b> <b>- </b>(Sec. 201) Amends SAFETEA-LU to extend, from October 1, 2011, through June 30, 2012, the authorization of appropriations for National Highway Traffic Safety Administration (NHTSA) safety programs, including: (1) highway safety research and development, (2) the occupant protection incentive grant program, (3) the safety belt performance grant program, (4) state traffic safety information system improvements, (5) the alcohol-impaired driving countermeasures incentive grant program, (6) the National Driver Register, (7) the high visibility enforcement program, (8) motorcyclist safety, (9) the child safety and child booster seat safety incentive grant program, and (10) NHTSA administrative expenses.</p> <p>(Sec. 202) Extends for that same period the authorization of appropriations for Federal Motor Carrier Safety Administration (FMCSA) programs, including: (1) motor carrier safety grants, (2) FMCSA administrative expenses, (3) commercial driver's license program improvement grants, (4) border enforcement grants, (5) performance and registration information system management grants, (6) commercial vehicle information systems and networks deployment grants, (7) safety data improvement grants, (8) a set-aside for high priority activities that improve commercial motor vehicle safety and compliance with commercial motor vehicle safety regulations, (9) a set-aside for new entrant motor carrier audit grants, (10) FMCSA and NHTSA outreach and education, (11) the commercial motor vehicle operators grant program, (12) the FMCSA's Motor Carrier Safety Advisory Committee, and (13) the working group for development of practices and procedures to enhance federal-state relations.</p> <p>(Sec. 203) Extends, from October 1, 2011, through June 30, 2012, the funding for hazardous materials (hazmat) research projects. </p> <p>Amends the Dingell-Johnson Sport Fish Restoration Act to continue for the same period of time the authorized distribution of funds under such Act for coastal wetlands, recreational boating safety, projects under the Clean Vessel Act of 19921, boating infrastructure projects, and the National Outreach and Communications Program. </p> <p>Extends the set-aside for administrative expenses for carrying out such projects.</p> <p><b>Title III: Public Transportation Program</b> <b>- </b>(Sec. 301) Extends, from October 1, 2011, through June 30, 2012, the allocation of capital investment grant funds for federal transit programs, including the metropolitan planning program and the state planning and research program. </p> <p>(Sec. 302) Extends the special rule authority of the Secretary to award urbanized area formula grants to finance the operating cost of equipment and facilities for use in public transportation in an urbanized area with a population of at least 200,000. </p> <p>(Sec. 303) Allocates, from October 1, 2011, through June 30, 2012, certain amounts for formula and bus grants and capital investment grants for: (1) certain new fixed guideway capital projects; (2) new fixed guideway ferry systems and extension projects in Alaska and Hawaii; (3) payments to the Denali Commission for docks, waterfront development projects, and related transportation infrastructure; (4) ferry boats or ferry terminal facilities; (5) a set-aside for the national fuel cell bus technology development program; (6) projects in nonurbanized areas; (7) intermodal terminal projects; and (8) bus testing. </p> <p>(Sec. 304) Extends the apportionment of nonurbanized area formula grants for public transportation on Indian reservations. </p> <p>(Sec. 305) Extends, from October 1, 2011, through June 30, 2012, the apportionment of capital investment grant funds for certain fixed guideway modernization projects. Requires, however, the Secretary to apportion 75% of each dollar amount for such projects.</p> <p>(Sec. 306) Extends for that same period the authorization appropriations from the HTF Mass Transit Account for: (1) formula and bus grant projects, including allocations for specified projects; (2) capital investment grants, (3) transit research, including allocations for transit cooperative research programs, the National Transit Institute, the university centers program, transportation projects to comply with the Americans with Disabilities Act of 1990, the National Technical Assistance Center for senior transportation, and national research programs; and (4) administration expenses. </p> <p>(Sec. 307) Extends, from October 1, 2011, through June 30,2012, certain SAFETEA-LU programs, including: (1) the contracted paratransit pilot program, (2) the public-private partnership pilot program, (3) project authorizations for final design and construction and preliminary engineering of specified fixed guideway projects, and (4) the elderly individuals and individuals with disabilities pilot program. </p> <p>Extends certain allocations for national research and technology programs. </p> <p><b>Title IV: Highway Trust Fund Extension</b> - (Sec. 401) Amends the Internal Revenue Code to extend through June 30, 2012, authority for expenditures from: (1) the HTF Highway and Mass Transit accounts, (2) the Sport Fish Restoration and Boating Trust Fund, and (3) the Leaking Underground Storage Tank Trust Fund. </p> <p>(Sec. 402) Extends through June 30, 2012, excise taxes on: (1) fuel used by certain buses, (2) certain alcohol fuels, (3) gasoline (other than aviation gasoline) and diesel fuel or kerosene, (4) certain heavy trucks and trailers, and (5) tires. Extends the Leaking Underground Storage Tank Trust Fund tax. </p> <p>Extends through FY2013 the excise tax on certain heavy vehicles. </p> <p>Extends through June 30, 2012, the exemptions from excise taxes on: (1) certain sales, and (2) motor vehicles used by a state and local government. </p> <p>Extends the transfer of: (1) certain highway excise taxes to the HTF, and (2) motorboat fuel taxes from the HTF into the land and water conservation fund.</p>"
H.R. 4240,https://www.congress.gov/bill/112th-congress/house-bill/4240,112th Congress (2011-2012),Ambassador James R. Lilley and Congressman Stephen J. Solarz North Korea Human Rights Reauthorization Act of 2012,"Ros-Lehtinen, Ileana [Rep.-R-FL-18]",Republican,03/22/2012,"<p><b>(This measure has not been amended since it was passed by the House on May 15, 2012. The summary of that version is repeated here.)</b></p> <p>Ambassador James R. Lilley and Congressman Stephen J. Solarz North Korea Human Rights Reauthorization Act of 2012 - Expresses the sense of Congress that the United States should: (1) continue to seek cooperation from foreign governments to allow the United States to process North Korean refugees overseas for U.S. resettlement, (2) urge China to halt its forcible repatriation of North Koreans, and (3) allow the United Nations High Commissioner for Refugees (UNHCR) access to North Koreans inside China to determine whether such North Koreans are refugees requiring protection.</p> <p>Amends the North Korean Human Rights Act of 2004 to authorize appropriations through FY2017: (1) for grants that promote democracy, human rights, and a market economy in North Korea, (2) to increase the availability of non-government controlled information inside North Korea, and (3) for organizations or persons that provide humanitarian assistance to North Koreans who are outside of North Korea.</p> <p>Extends through 2017 the annual congressional reporting requirement for: (1) the Secretary of State to report on activities to increase the availability of non-government controlled information inside North Korea, (2) the Special Envoy for North Korean human rights issues to report on human rights related activities, (3) the Secretary and Administrator of the U.S. Agency for International Development (USAID) to report on U.S. humanitarian assistance inside North Korea and to North Koreans outside of North Korea, and (4) the Secretary and the Secretary of Homeland Security (DHS) to report on the number of North Koreans seeking refugee status or political asylum in the United States.</p> <p>Directs the Broadcasting Board of Governors to report to Congress regarding U.S. broadcasting to North Korea and the extent to which the Board has achieved the goal of 12-hour-per-day broadcasting to North Korea.</p>"
H.R. 4223,https://www.congress.gov/bill/112th-congress/house-bill/4223,112th Congress (2011-2012),SAFE DOSES Act,"Sensenbrenner, F. James, Jr. [Rep.-R-WI-5]",Republican,03/20/2012,"<p><b>(This measure has not been amended since it was passed by the House on June 26, 2012. The summary of that version is repeated here.)</b></p> <p>Strengthening and Focusing Enforcement to Deter Organized Stealing and Enhance Safety Act of 2012 or the SAFE DOSES Act - Amends the federal criminal code to prohibit, in or using any means or facility of interstate or foreign commerce: (1) embezzling, stealing, obtaining by fraud or deception, or knowingly and unlawfully taking, carrying away, or concealing a medical product that has not yet been made available for retail purchase by a consumer (pre-retail medical product); (2) knowingly and falsely making, altering, forging, or counterfeiting the labeling or documentation of such a product; (3) knowingly possessing, transporting, or trafficking in a product involved in such a violation; (4) buying or otherwise obtaining, or selling or distributing, with intent to defraud, such a product that has expired or been stolen; or (5) attempting or conspiring to commit such a violation. </p> <p>Makes such a violation an aggravated offense if: (1) the defendant is employed by, or is an agent of, an organization in the supply chain for the product; or (2) the violation involves the use of violence, force, a threat of violence or force, or the use of a deadly weapon, results in serious bodily injury or death, or is subsequent to a prior conviction for an offense under this Act.</p> <p>Prescribes criminal and civil penalties for violations, including a civil penalty of up to the greater of&nbsp;3 times the economic loss attributable to the violation or $1 million. </p> <p>Provides for civil forfeiture for any property which constitutes or is derived from proceeds traceable to such a violation. </p> <p>Requires the penalties under this Act to apply for the following offenses involving a pre-retail medical product: (1) interstate and foreign travel or transportation in aid of racketeering enterprises; (2) engaging in monetary transactions in property derived from specified unlawful activity; (3) breaking into or entering carrier facilities with intent to commit larceny; and (4) the transportation, sale, or receipt of stolen property. Directs the Attorney General to give increased priority to efforts to investigate and prosecute offenses involving pre-retail medical products.</p> <p>Extends provisions authorizing wiretapping and requiring victim restitution to offenses relating to theft of a pre-retail medical product.</p> <p>Directs the U.S. Sentencing Commission to review and, if appropriate, amend the sentencing guidelines and policy statements applicable to offenses related to pre-retail medical product theft or robberies and burglaries involving controlled substances to reflect congressional intent that penalties are sufficient to deter and punish such offenses and to appropriately account for actual harm to the public.</p>"
H.R. 4212,https://www.congress.gov/bill/112th-congress/house-bill/4212,112th Congress (2011-2012),Drywall Safety Act of 2012,"Rigell, E. Scott [Rep.-R-VA-2]",Republican,03/19/2012,"<p><b>(This measure has not been amended since it was passed by the Senate on December 21, 2012</b><b>. The summary of that version is repeated here.)</b></p> <p>Drywall Safety Act of 2012 - (Sec. 2) Expresses the sense of Congress that the Secretary of Commerce should insist that: (1) the government of China, which has ownership interests in the companies that manufactured and exported problematic drywall to the United States, facilitate a meeting between the companies and U.S. government representatives about remedying affected homeowners; and (2) such companies comply with any related U.S. court decisions.</p> <p>(Sec. 3) Requires certain gypsum board labeling standards of ASTM International (formerly known as the American Society for Testing and Materials), as in effect on the day before the enactment of this Act, to be treated as a rule promulgated by the Consumer Product Safety Commission (CPSC).</p> <p>Provides procedures for: (1) ASTM International to notify the CPSC of any subsequent revision of such standards; and (2) the revised standards to become effective unless the CPSC, within a specified period, determines that the revisions do not adequately identify gypsum board by manufacturer and month and year of manufacture.</p> <p>(Sec. 4) Requires the CPSC to promulgate a final rule concerning drywall manufactured or imported for domestic use that limits sulfur content to a level not associated with elevated rates of corrosion in the home. Provides exceptions, and means of enforcement as a rule, if the CPSC determines that a voluntary standard (developed by a specified Subcommittee on Specifications and Test Methods for Gypsum Products of ASTM International) is adequate to permit identification and publishes the determination in the Federal Register. Provides procedures for revision of such voluntary standards. </p> <p>Allows the CPSC, at any time subsequent to publication of such a rule, to initiate a rulemaking to modify the sulfur content limit or include a provision relating only to drywall composition or characteristics that the CPSC determines is reasonably necessary to protect public health or safety.</p> <p>(Sec. 5) Directs the CPSC to revise its &quot;Remediation Guidance for Homes with Corrosion from Problem Drywall&quot; to specify that problematic drywall removed pursuant to the guidance should not be reused or used as a component in production of new drywall.</p>"
H.R. 4158,https://www.congress.gov/bill/112th-congress/house-bill/4158,112th Congress (2011-2012),To confirm full ownership rights for certain United States astronauts to artifacts from the astronauts' space missions.,"Hall, Ralph M. [Rep.-R-TX-4]",Republican,03/07/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Grants a U.S. astronaut who participated in any of the Mercury, Gemini, or Apollo programs through the completion of the Apollo-Soyuz Test Project, and who received an artifact during his participation, full ownership of and clear title to that artifact.</p> <p>Defines ""artifact"" as any expendable item utilized in missions for the Mercury, Gemini, or Apollo programs through the completion of the Apollo-Soyuz Test Project not expressly required to be returned to the National Aeronautics and Space Administration (NASA) at the completion of the mission and other expendable, disposable, or personal-use items utilized by such an astronaut during participation in any such program, excluding lunar rocks and other lunar material. </p> <p>Prohibits the federal government from having any claim or right to ownership, control, or use of: (1) any artifact in the possession of such an astronaut; or (2) any such artifact that was subsequently transferred, sold, or assigned to a third party by such an astronaut. </p>"
H.R. 4155,https://www.congress.gov/bill/112th-congress/house-bill/4155,112th Congress (2011-2012),Veteran Skills to Jobs Act,"Denham, Jeff [Rep.-R-CA-19]",Republican,03/07/2012,"<p><b>(This measure has not been amended since it was passed by the House on July 9, 2012. The summary of that version is repeated here.)</b> </p> <p>Veteran Skills to Jobs Act - Directs the head of each federal licensing authority to consider, and authorizes such official to accept, any relevant training received by an individual while serving as a member of the Armed Forces for the purpose of satisfying the license requirements.</p>"
H.R. 4119,https://www.congress.gov/bill/112th-congress/house-bill/4119,112th Congress (2011-2012),Border Tunnel Prevention Act of 2012,"Reyes, Silvestre [Rep.-D-TX-16]",Democratic,03/01/2012,"<p><b>(This measure has not been amended since it was passed by the House on May 16, 2012. The summary of that version is repeated here.)</b></p> <p>Border Tunnel Prevention Act of 2012 - Amends the federal criminal code to: (1) subject anyone who attempts or conspires to construct or finance construction of an unauthorized tunnel or subterranean passage that crosses the international border between the United States and another country, or to use such a tunnel for smuggling, to the penalties prescribed for someone who commits such an offense; (2) make such a border tunnel offense a predicate offense for a money laundering violation and for authorization for interception of wire, oral, or electronic communications; and (3) provide for the criminal forfeiture of proceeds of such an offense and the seizure and forfeiture of merchandise introduced into the United States through such a tunnel.</p> <p>Expresses the sense of Congress that the Department of Homeland Security (DHS) should continue outreach efforts to educate landowners and tenants in areas along the border between Mexico and the United States about cross-border tunnels and seek their assistance in combating tunnel construction.</p> <p>Requires the Secretary of Homeland Security to submit an annual report describing: (1) cross-border tunnels along the U.S.-Mexico border discovered during the preceding fiscal year; and (2) the needs of DHS to effectively prevent, investigate, and prosecute construction of such tunnels.</p>"
H.R. 4114,https://www.congress.gov/bill/112th-congress/house-bill/4114,112th Congress (2011-2012),Veterans' Compensation Cost-of-Living Adjustment Act of 2012,"Runyan, Jon [Rep.-R-NJ-3]",Republican,02/29/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p> Veterans' Compensation Cost-of-Living Adjustment Act of 2012 - Directs the Secretary of Veterans Affairs (VA) to increase, as of December 1, 2012, the rates of veterans' disability compensation, additional compensation for dependents, the clothing allowance for certain disabled veterans, and dependency and indemnity compensation for surviving spouses and children.</p> <p>Requires each such increase to be the same percentage as the increase in benefits provided under title II (Old Age, Survivors and Disability Insurance) of the Social Security Act, on the same effective date.</p>"
H.R. 4105,https://www.congress.gov/bill/112th-congress/house-bill/4105,112th Congress (2011-2012),"To apply the countervailing duty provisions of the Tariff Act of 1930 to nonmarket economy countries, and for other purposes.","Camp, Dave [Rep.-R-MI-4]",Republican,02/29/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Amends the Tariff Act of 1930 regarding the imposition of countervailing duties on imports into the United States from a country subsidizing, directly or indirectly, the manufacture, production, or export of merchandise which materially injures a U.S. industry or threatens to.</p> <p>Declares that merchandise on which countervailing duties must be imposed includes merchandise from a nonmarket country, unless the administering authority cannot identify and measure subsidies provided by the government of the nonmarket economy country (or a public entity within its territory) because the economy of that country is essentially composed of a single entity.</p> <p>Requires the administering authority to reduce the antidumping duty on a class or kind of merchandise from a nonmarket economy country in cases where: (1) such country (or a public entity within its territory) has provided the merchandise with a countervailable subsidy (other than an export subsidy); (2) the subsidy has reduced the average price of imports of that class or kind of merchandise during the relevant period; and (3) the extent to which the subsidy, in combination with the use of normal value, has increased the weighted average dumping margin for such merchandise can be reasonably estimated.</p> <p>Requires the administering authority, in such cases, to reduce the antidumping duty by the amount of the increase in the weighted average dumping margin estimated (but not by more than the portion of the countervailing duty rate attributable to the countervailable subsidy).</p>"
H.R. 4097,https://www.congress.gov/bill/112th-congress/house-bill/4097,112th Congress (2011-2012),John F. Kennedy Center Reauthorization Act of 2012,"Mica, John L. [Rep.-R-FL-7]",Republican,02/28/2012,"<p><b>(This measure has not been amended since it was introduced. The expanded summary of the House reported version is repeated here.)</b></p> <p>John F. Kennedy Center Reauthorization Act of 2012 - Allows the Trustees of the John F. Kennedy Center for the Performing Arts (the Board) to undertake such activities as may be necessary for the construction of a specified addition to the south end of the building of the John F. Kennedy Center for the Performing Arts (the expansion project). </p> <p>Authorizes the Board to construct the expansion project and makes the Board responsible for the planning, design, engineering, and construction of the project. Requires the costs of those activities to be paid for using nonappropriated funds. </p> <p>Declares that, all activities carried out under this Act shall be within the mission of the John. F. Kennedy Center for the Performing Arts (the Kennedy Center) to serve as the national center for such arts. </p> <p>Instructs the Board: (1) <times/> before awarding a contract for the construction of the expansion project, to estimate any additional annual operations and maintenance costs (or savings) associated with the project; and (2) to account for any such additional costs in making a budget request for FY2014 and each fiscal year thereafter. Requires a final determination to proceed with such project to be based on the ability of the Board to accommodate any such identified additional costs within its other budget priorities. </p> <p>Permits the Board to acknowledge private contributions used to carry out the interior portion of the expansion project, but prohibits the acknowledgement of private contributions used on the exterior portion. </p> <p>Requires any acknowledgements of private contributions under this Act to be consistent with requirements under the John. F. Kennedy Center Act regarding the designation or installation of additional memorials or plaques in the nature of memorials in public areas of the Kennedy Center. </p> <p>Authorizes appropriations for FY2013-FY2014 to the Board for: (1) maintenance, repair, and security; and (2) capital projects. </p>"
H.R. 4073,https://www.congress.gov/bill/112th-congress/house-bill/4073,112th Congress (2011-2012),"To authorize the Secretary of Agriculture to accept the quitclaim, disclaimer, and relinquishment of a railroad right of way within and adjacent to Pike National Forest in El Paso County, Colorado, originally granted to the Mt. Manitou Park and Incline Railway Company pursuant to the Act of March 3, 1875.","Lamborn, Doug [Rep.-R-CO-5]",Republican,02/17/2012,"<p><b>(This measure has not been amended since it was reported to the House on July 17, 2012. The summary of that version is repeated here.)</b></p> <p>Authorizes the Secretary of Agriculture to accept the quitclaim, disclaimer, and relinquishment by the Manitou and Pikes Peak Railway Company of a specified right-of-way adjacent to Pike National Forest that was originally granted to the Mt. Manitou Park and Incline Railway Company for the construction of a railroad and station in El Paso County, Colorado.</p>"
H.R. 4057,https://www.congress.gov/bill/112th-congress/house-bill/4057,112th Congress (2011-2012),Improving Transparency of Education Opportunities for Veterans Act of 2012,"Bilirakis, Gus M. [Rep.-R-FL-9]",Republican,02/16/2012,"<p><b>(This measure has not been amended since it was passed by the Senate on December 19, 2012. The summary of that version is repeated here.)</b> </p> <p>Directs the Secretary of Veterans Affairs (VA) to develop a comprehensive policy to improve outreach and transparency to veterans and members of the Armed Forces (members) through the provision of information on institutions of higher learning. Requires such information to: (1) include accreditation information and a description of available federal aid programs, and (2) be provided through hyperlinks on the VA website. Requires the Secretary, in developing the policy, to conduct a market survey to determine the availability of a commercially available off-the-shelf online tool that: (1) allows veterans to determine whether they are academically ready to engage in postsecondary education and training opportunities, and (2) provides a list of providers of such opportunities. Directs the Secretary to report to the congressional veterans and education committees on: (1) the policy developed, (2) a plan to implement the policy, and (3) survey results.</p> <p>Prohibits the Secretary from approving an educational institution that provides any commission, bonus, or other incentive payment based on success in securing enrollments.</p> <p>Directs the Secretary to ensure that the VA provides assistance to personnel of educational institutions who are charged with submitting reports or certifications to the VA.</p> <p>Prohibits the Secretary from paying more than $395 million in VA employee incentive awards or performance bonuses during FY2013.</p>"
H.R. 4053,https://www.congress.gov/bill/112th-congress/house-bill/4053,112th Congress (2011-2012),Improper Payments Elimination and Recovery Improvement Act of 2012,"Towns, Edolphus [Rep.-D-NY-10]",Democratic,02/16/2012,"<p><b>(This measure has not been amended since it was reported to the House on November 30, 2012. The summary of that version is repeated here.)</b></p> <p>Improper Payments Elimination and Recovery Improvement Act of 2012<b> - </b>(Sec. 3) Requires the Director of the Office of Management and Budget (OMB) to: (1) identify, annually, a list of high-priority federal programs for greater levels of oversight and review in which the highest dollar value or highest rate of improper payments occur or for which there is a higher risk of improper payments; (2) coordinate with agencies responsible for administering high-priority programs to establish annual targets and semi-annual or quarterly actions for reducing improper payments; and (3) provide guidance to agencies for improving estimates of improper payments. </p> <p>Requires federal agencies to report annually to their Inspectors General on any high-dollar improper payments identified. Requires OMB to make such reports available to the public on a central website. Requires the Inspectors General to: (1) review the assessment of the level of risk associated with agency programs and the quality of the improper payment estimates and agency methodologies in making such estimates, (2) review the oversight or financial controls to identify and prevent improper payments, and (3) submit recommendations to Congress for improving improper payment information and estimation methodology.</p> <p>(Sec. 5) Requires federal agencies to review prepayment and preaward procedures and available databases to determine program or award eligibility and prevent improper payments before releasing any federal funds. Includes among the databases that agencies shall review: (1) the Death Master File of the Social Security Administration (SSA), (2) the General Services Administration (GSA) Excluded Parties List System, (3) the Debt Check Database of the Department of the Treasury, (4) the Credit Alert System or Credit Alert Interactive Voice Response System of the Department of Housing and Urban Development (HUD), and (5) the List of Excluded Individuals/Entities of the Office of Inspector General of the Department of Health and Human Services (HHS).</p> <p>Establishes the Do Not Pay Initiative, which shall include the use of the aforementioned databases and any other databases designated by OMB. Directs OMB to report annually on the operation of the Initiative, with an evaluation of whether the Initiative has reduced improper payments or awards, and provide the frequency of corrections or identification of incorrect database information.</p> <p>Requires OMB to establish a working system for prepayment and preaward review that includes the Do Not Pay Initiative. Requires each agency to review, not later than June 1, 2013, all of its payments and awards for all programs established through the working system.</p> <p>Authorizes agency heads and Inspectors General to enter into computer matching agreements to assist in the detection and prevention of improper payments. Requires OMB to issue guidance to agencies in implementing matching agreements and to establish procedures for correcting data in the Do Not Pay Initiative database. </p> <p>Requires the Attorney General to report on using data on the conviction and incarceration status of individuals to identify and prevent improper payments by federal agencies.</p> <p>Requires OMB to establish and report to Congress on a plan for improving the quality, accuracy, and timeliness of death data maintained by SSA.</p> <p>(Sec. 6) Directs OMB to determine current and historical rates and amounts of recovery of improper payments and targets for recovering improper payments, including specific information on amounts and payments recovered by recovery audit contractors.</p>"
H.R. 4045,https://www.congress.gov/bill/112th-congress/house-bill/4045,112th Congress (2011-2012),"To modify the Department of Defense Program Guidance relating to the award of Post-Deployment/Mobilization Respite Absence administrative absence days to members of the reserve components to exempt any member whose qualified mobilization commenced before October 1, 2011, and continued on or after that date, from the changes to the program guidance that took effect on that date.","Kline, John [Rep.-R-MN-2]",Republican,02/15/2012,"<p><b>(This measure has not been amended since it was passed by the House on May 15, 2012. The summary of that version is repeated here.)</b> </p>Authorizes the Secretary of Defense to determine that the changes made to the program guidance relating to the award of Post-Deployment/Mobilization Respite Absence administrative absence days or other authorized benefits described herein to members and former members of the reserves under a specified Department of Defense (DOD) instruction shall not apply to current or former reservists whose qualified mobilization commenced before October 1, 2011, and continued until the termination of the mobilization. <p>Includes within such authorized benefits: (1) the payment of up to $200 per day for each day the individual would have qualified for a day of administrative absence had the above changes not applied to the individual, in the case of a former member of the Armed Forces; (2) either one day of administrative absence or up to $200 per day as described above, in the case of a member on active duty at the time of the provision of benefits; and (3) either one day of administrative absence to be retained for future use or up to $200 per day as described above, in the case of a member serving in the Selected Reserve, Inactive National Guard, or Individual Ready Reserve at the time of the provision of benefits. Excludes such additional benefits for former members discharged or released under other than honorable conditions.</p> <p>Terminates the benefit authority under this Act on October 1, 2014.</p> <p>Directs the Secretary to transfer specified funds from the Pentagon Reservation Maintenance Revolving Fund as a funding offset for such benefits.</p>"
H.R. 4014,https://www.congress.gov/bill/112th-congress/house-bill/4014,112th Congress (2011-2012),To amend the Federal Deposit Insurance Act with respect to information provided to the Bureau of Consumer Financial Protection.,"Huizenga, Bill [Rep.-R-MI-2]",Republican,02/13/2012," <p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Amends the Federal Deposit Insurance Act to make the Consumer Financial Protection Bureau (CFPB) a &quot;covered agency&quot; that may share information with another covered agency or any other federal agency without waiving any privilege applicable to the information.</p> <p>Prohibits information submitted to the CFPB in the course of its supervisory or regulatory process from being construed as waiving, destroying, or affecting any privilege that may be claimed with respect to such information under federal or state law as to any person or entity other than the CFPB, another federal banking agency, a state bank supervisor, or a foreign banking authority.</p>"
H.R. 3992,https://www.congress.gov/bill/112th-congress/house-bill/3992,112th Congress (2011-2012),To allow otherwise eligible Israeli nationals to receive E-2  nonimmigrant visas if similarly situated United States nationals are eligible for similar nonimmigrant status in Israel.,"Berman, Howard L. [Rep.-D-CA-28]",Democratic,02/09/2012,<p><b>(This measure has not been amended since it was introduced. The expanded summary of the House reported version is repeated here.)</b></p> <p>Makes Israeli nationals eligible to enter the United States as E-2 visa nonimmigrant investors as provided for under the Immigration and Nationality Act if Israel provides reciprocal nonimmigrant treatment to U.S. nationals.</p>
H.R. 3912,https://www.congress.gov/bill/112th-congress/house-bill/3912,112th Congress (2011-2012),"To designate the facility of the United States Postal Service located at 110 Mastic Road in Mastic Beach, New York, as the ""Brigadier General Nathaniel Woodhull Post Office Building"".","Bishop, Timothy H. [Rep.-D-NY-1]",Democratic,02/07/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Designates the facility of the United States Postal Service located at 110 Mastic Road in Mastic Beach, New York, as the ""Brigadier General Nathaniel Woodhull Post Office Building.""</p>"
H.R. 3902,https://www.congress.gov/bill/112th-congress/house-bill/3902,112th Congress (2011-2012),District of Columbia Special Election Reform Act,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",Democratic,02/06/2012,"<p><b>(This measure has not been amended since it was passed by the House on February 29, 2012. The summary of that version is repeated here.)</b></p> <p>District of Columbia Special Election Reform Act - Amends the District of Columbia Home Rule Act to require the Board of Elections and Ethics, in filling the following vacancies, to hold a special election in the District on the first Tuesday occurring between 70 and 174 days (currently, the first Tuesday occurring more than 114 days) after the vacancy occurs which the Board determines, based on a totality of the circumstances, taking into account, inter alia, cultural and religious holidays and the administrability of the election, will provide the greatest level of voter participation. Eliminates the specific alternative of a special election on the same day as the next general election (without eliminating the option of a special election on the same day as the next general election).</p> <p>Applies this revised special election requirement to: (1) the Office of the Chairman of the Council of the District of Columbia, (2) a Council member elected from a ward or elected at large, (3) the Office of the Mayor of the District, and (4) the Office of the Attorney General of the District.</p>"
H.R. 3892,https://www.congress.gov/bill/112th-congress/house-bill/3892,112th Congress (2011-2012),"To designate the facility of the United States Postal Service located at 8771 Auburn Folsom Road in Roseville, California, as the ""Lance Corporal Victor A. Dew Post Office"".","McClintock, Tom [Rep.-R-CA-4]",Republican,02/02/2012,"<p><b>(This measure has not been amended since it was passed by the House on November 28, 2012. The summary of that version is repeated here.)</b></p> <p>Designates the facility of the United States Postal Service located at 8771 Auburn Folsom Road in Roseville, California, as the ""Lance Corporal Victor A. Dew Post Office.""</p>"
H.R. 3870,https://www.congress.gov/bill/112th-congress/house-bill/3870,112th Congress (2011-2012),"To designate the facility of the United States Postal Service located at 6083 Highway 36 West in Rose Bud, Arkansas, as the ""Nicky 'Nick' Daniel Bacon Post Office"".","Griffin, Tim [Rep.-R-AR-2]",Republican,02/01/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Designates the facility of the United States Postal Service located at 6083 Highway 36 West in Rose Bud, Arkansas, as the ""Nicky 'Nick' Daniel Bacon Post Office.""</p>"
