Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Latest Summary
H.R. 5509,https://www.congress.gov/bill/115th-congress/house-bill/5509,115th Congress (2017-2018),"Innovations in Mentoring, Training, and Apprenticeships Act","McCarthy, Kevin [Rep.-R-CA-23]",Republican,04/13/2018,Became Public Law No: 115-402.,12/31/2018,"<p><b>Innovations in Mentoring, Training, and Apprenticeships Act</b></p> <p>(Sec. 3) This bill requires the National Science Foundation (NSF) to award grants to junior or community colleges to develop or improve associate degree or certificate programs in STEM (science, technology, engineering, and mathematics, including computer science) fields. </p> <p>The NSF shall award grants to institutions of higher education partnering with private sector employers that commit to offering apprenticeships, internships, research opportunities, or applied learning experiences to students in STEM baccalaureate degree programs. </p> <p>The NSF shall award grants to institutions of higher education or nonprofit organizations to conduct research on student outcomes and determine best practices for STEM education and technical skills education through distance learning or in a simulated work environment. </p> <p>(Sec. 4) The NSF Directorate of Social, Behavioral &amp; Economic Sciences, in coordination with the Department of Labor, shall support research on labor market analysis innovations, data and information sciences, electronic information tools and methodologies, and metrics. </p> <p>The NSF National Center for Science and Engineering Statistics shall coordinate with other agencies in exploring the feasibility of expanding its surveys to include the collection of data on certain skilled technical workers who use STEM knowledge in their jobs.</p>"
H.R. 5504,https://www.congress.gov/bill/115th-congress/house-bill/5504,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 4801 West Van Giesen Street in West Richland, Washington, as the ""Sergeant Dietrich Schmieman Post Office Building"".","Newhouse, Dan [Rep.-R-WA-4]",Republican,04/13/2018,Became Public Law No: 115-292.,12/06/2018,"<p>Designates the facility of the United States Postal Service located at 4801 West Van Giesen Street in West Richland, Washington, as the ""Sergeant Dietrich Schmieman Post Office Building.""</p>"
H.R. 5475,https://www.congress.gov/bill/115th-congress/house-bill/5475,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 108 North Macon Street in Bevier, Missouri, as the ""SO2 Navy SEAL Adam Olin Smith Post Office"".","Graves, Sam [Rep.-R-MO-6]",Republican,04/11/2018,Became Public Law No: 115-357.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 108 North Macon Street in Bevier, Missouri, as the ""SO2 Navy SEAL Adam Olin Smith Post Office.""</p>"
H.R. 5412,https://www.congress.gov/bill/115th-congress/house-bill/5412,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 25 2nd Avenue in Brentwood, New York, as the ""Army Specialist Jose L. Ruiz Post Office Building"".","King, Peter T. [Rep.-R-NY-2]",Republican,03/26/2018,Became Public Law No: 115-356.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 25 2nd Avenue in Brentwood, New York, as the ""Army Specialist Jose L. Ruiz Post Office Building.""</p>"
H.R. 5395,https://www.congress.gov/bill/115th-congress/house-bill/5395,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 116 Main Street in Dansville, New York, as the ""Staff Sergeant Alexandria Gleason-Morrow Post Office Building"".","Collins, Chris [Rep.-R-NY-27]",Republican,03/22/2018,Became Public Law No: 115-355.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 116 Main Street in Dansville, New York, as the ""Staff Sergeant Alexandria Gleason-Morrow Post Office Building.""</p>"
H.R. 5385,https://www.congress.gov/bill/115th-congress/house-bill/5385,115th Congress (2017-2018),Dr. Benjy Frances Brooks Children's Hospital GME Support Reauthorization Act of 2018,"Green, Gene [Rep.-D-TX-29]",Democratic,03/22/2018,Became Public Law No: 115-241.,09/18/2018,<p><strong>Dr. Benjy Frances Brooks Children's Hospital GME Support Reauthorization Act of 2018</strong></p> <p>(Sec. 2) This bill amends the Public Health Service Act to reauthorize through FY2023 the program that provides payments to children's hospitals&nbsp;that operate&nbsp;graduate medical education programs.</p>
H.R. 5349,https://www.congress.gov/bill/115th-congress/house-bill/5349,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 1325 Autumn Avenue in Memphis, Tennessee, as the ""Judge Russell B. Sugarmon Post Office Building"".","Cohen, Steve [Rep.-D-TN-9]",Democratic,03/20/2018,Became Public Law No: 115-291.,12/06/2018,"<p>Designates the facility of the United States Postal Service located at 1325 Autumn Avenue in Memphis, Tennessee, as the ""Judge Russell B. Sugarmon Post Office Building.""</p>"
H.R. 5317,https://www.congress.gov/bill/115th-congress/house-bill/5317,115th Congress (2017-2018),To repeal section 2141 of the Revised Statutes to remove the prohibition on certain alcohol manufacturing on Indian lands.,"Herrera Beutler, Jaime [Rep.-R-WA-3]",Republican,03/15/2018,Became Public Law No: 115-304.,12/11/2018,<p>(Sec. 2) This bill repeals a prohibition on creating or continuing a distillery in Indian country for manufacturing ardent spirits (distilled liquors).</p>
H.R. 5238,https://www.congress.gov/bill/115th-congress/house-bill/5238,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 1234 Saint Johns Place in Brooklyn, New York, as the ""Major Robert Odell Owens Post Office"".","Clarke, Yvette D. [Rep.-D-NY-9]",Democratic,03/09/2018,Became Public Law No: 115-317.,12/14/2018,"<p>Designates the facility of the United States Postal Service located at 1234 Saint Johns Place in Brooklyn, New York, as the ""Major Robert Odell Owens Post Office.""</p>"
H.R. 5205,https://www.congress.gov/bill/115th-congress/house-bill/5205,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 701 6th Street in Hawthorne, Nevada, as the ""Sergeant Kenneth Eric Bostic Post Office"".","Kihuen, Ruben J. [Rep.-D-NV-4]",Democratic,03/07/2018,Became Public Law No: 115-354.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 701 6th Street in Hawthorne, Nevada, as the ""Sergeant Kenneth Eric Bostic Post Office.""</p>"
H.R. 5075,https://www.congress.gov/bill/115th-congress/house-bill/5075,115th Congress (2017-2018),Ashanti Alert Act of 2018,"Taylor, Scott [Rep.-R-VA-2]",Republican,02/20/2018,Became Public Law No: 115-401.,12/31/2018,"<p><b>Ashanti Alert Act of 2018</b></p> <p>(Sec. 3) This bill directs the Department of Justice (DOJ) to establish a national communications network&#8212;the Ashanti Alert communications network&#8212;to support regional and local search efforts for missing adults.</p> <p>The Ashanti Alert communications network must be integrated with the Blue Alert communications network (i.e., the communications network that supports efforts to search for and apprehend violent offenders who injure, kill, or pose an imminent danger to law enforcement).</p> <p>(Sec. 7) The bill authorizes appropriations for FY2019-FY2022 to carry out the Ashanti Alert communications network.</p> <p>(Sec. 8) It amends the Justice Assistance Act of 1984 to eliminate existing authority for DOJ to award grants under the Emergency Federal Law Enforcement Assistance Program through FY2022.</p>"
H.R. 4960,https://www.congress.gov/bill/115th-congress/house-bill/4960,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 511 East Walnut Street in Columbia, Missouri, as the ""Spc. Sterling William Wyatt Post Office Building"".","Hartzler, Vicky [Rep.-R-MO-4]",Republican,02/07/2018,Became Public Law No: 115-290.,12/06/2018,"<p>Designates the facility of the United States Postal Service located at 511 East Walnut Street in Columbia, Missouri, as the ""Spc. Sterling William Wyatt Post Office Building.""</p>"
H.R. 4958,https://www.congress.gov/bill/115th-congress/house-bill/4958,115th Congress (2017-2018),Veterans' Compensation Cost-of-Living Adjustment Act of 2018,"Bost, Mike [Rep.-R-IL-12]",Republican,02/07/2018,Became Public Law No: 115-258.,10/09/2018,"<p><strong>Veterans' Compensation Cost-of-Living Adjustment Act of 2018</strong></p> <p> (Sec. 2) This bill directs the Department of Veterans Affairs to increase, as of December 1, 2018, the rates of veterans' disability compensation, additional compensation for dependents, the clothing allowance for certain disabled veterans, and dependency and indemnity compensation for surviving spouses and children.</p> <p>Each such increase shall be the same percentage as the increase in benefits provided under title II (Old Age, Survivors and Disability Insurance) of the Social Security Act, on the same effective date.</p>"
H.R. 4946,https://www.congress.gov/bill/115th-congress/house-bill/4946,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 1075 North Tustin Street in Orange, California, as the ""Specialist Trevor A. Win'E Post Office"".","Correa, J. Luis [Rep.-D-CA-46]",Democratic,02/06/2018,Became Public Law No: 115-289.,12/06/2018,"<p>Designates the facility of the United States Postal Service located at 1075 North Tustin Street in Orange, California, as the ""Specialist Trevor A. Win'E Post Office.""</p>"
H.R. 4921,https://www.congress.gov/bill/115th-congress/house-bill/4921,115th Congress (2017-2018),STB Information Security Improvement Act,"Mitchell, Paul [Rep.-R-MI-10]",Republican,02/05/2018,Became Public Law No: 115-269.,10/16/2018,<b><p /><strong>STB Information Security Improvement Act</strong></b> <p>(Sec. 2) This bill requires the Surface Transportation Board to develop a timeline and plan to implement the recommendations of the Inspector General of the Department of Transportation in Report No. FI2018002 concerning information security.</p>
H.R. 4913,https://www.congress.gov/bill/115th-congress/house-bill/4913,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 816 East Salisbury Parkway in Salisbury, Maryland, as the ""Sgt. Maj. Wardell B. Turner Post Office Building"".","Harris, Andy [Rep.-R-MD-1]",Republican,02/02/2018,Became Public Law No: 115-288.,12/06/2018,"<p>Designates the facility of the United States Postal Service located at 816 East Salisbury Parkway in Salisbury, Maryland, as the ""Sgt. Maj. Wardell B. Turner Post Office Building.""</p>"
H.R. 4910,https://www.congress.gov/bill/115th-congress/house-bill/4910,115th Congress (2017-2018),Veterans Cemetery Benefit Correction Act,"Scott, Austin [Rep.-R-GA-8]",Republican,01/30/2018,Became Public Law No: 115-184.,06/15/2018,"<p><b>Veterans Cemetery Benefit Correction Act</b> </p> <p>(Sec. 2) This bill requires the Department of the Interior to provide outer burial receptacles for veterans' remains buried in a national cemetery administered by the National Park Service. (An outer burial receptacle is a container, such as a grave liner or a burial vault, that protects a casket in the ground and prevents the grave from sinking.) </p> <p>Interior may provide reimbursement for outer burial receptacles other than grave liners but may require survivors to pay: (1) the costs by which such burial receptacle exceeds the costs of a grave liner, and (2) related administrative costs. </p>"
H.R. 4890,https://www.congress.gov/bill/115th-congress/house-bill/4890,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 9801 Apollo Drive in Upper Marlboro, Maryland, as the ""Wayne K. Curry Post Office Building"".","Brown, Anthony G. [Rep.-D-MD-4]",Democratic,01/29/2018,Became Public Law No: 115-287.,12/06/2018,"<p>Designates the facility of the United States Postal Service located at 9801 Apollo Drive in Upper Marlboro, Maryland, as the ""Wayne K. Curry Post Office Building.""</p>"
H.R. 4854,https://www.congress.gov/bill/115th-congress/house-bill/4854,115th Congress (2017-2018),Justice Served Act of 2018,"Carter, John R. [Rep.-R-TX-31]",Republican,01/19/2018,Became Public Law No: 115-257.,10/09/2018,"<p><b>Justice Served Act of 2018</b></p> <p>(Sec. 2) This bill amends the DNA Analysis Backlog Elimination Act of 2000 to add, as a purpose area under the Debbie Smith DNA Backlog Grant Program, increasing the capacity of prosecutors to address the backlog of violent crime cases involving suspects identified through DNA evidence. The Department of Justice (DOJ) must allocate a specified percentage of grant funds for such purpose, subject to limitations.</p> <p>Additionally, of amounts made available over FY2019-FY2022 for a DNA analysis and capacity enhancement program and for other forensic activities, DOJ must allocate at least 5% for grants to prosecute cold cases involving violent crime, where suspects have been identified through DNA evidence.</p>"
H.R. 4851,https://www.congress.gov/bill/115th-congress/house-bill/4851,115th Congress (2017-2018),Kennedy-King National Commemorative Site Act,"Carson, Andre [Rep.-D-IN-7]",Democratic,01/19/2018,Became Public Law No: 115-163.,04/04/2018,"<p><b>Kennedy-King National Commemorative Site Act</b></p> (Sec. 3) This bill redesignates the Landmark for Peace Memorial in Martin Luther King, Jr. Park in Indianapolis, Indiana, as the &quot;Kennedy-King National Commemorative Site.&quot; <p>The commemorative site shall become a part of the African-American Civil Rights Network. </p> <p>The Department of the Interior may enter into cooperative agreements with public or private entities for interpretive and educational purposes related to the commemorative site. </p>"
H.R. 4840,https://www.congress.gov/bill/115th-congress/house-bill/4840,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 567 East Franklin Street in Oviedo, Florida, as the ""Sergeant First Class Alwyn Crendall Cashe Post Office Building"".","Murphy, Stephanie N. [Rep.-D-FL-7]",Democratic,01/18/2018,Became Public Law No: 115-217.,07/24/2018,"<p>(Sec. 1) Designates the facility of the United States Postal Service located at 567 East Franklin Street in Oviedo, Florida, as the ""Sergeant First Class Alwyn Crendall Cashe Post Office Building.""</p>"
H.R. 4819,https://www.congress.gov/bill/115th-congress/house-bill/4819,115th Congress (2017-2018),DELTA Act,"Fortenberry, Jeff [Rep.-R-NE-1]",Republican,01/18/2018,Became Public Law No: 115-353.,12/21/2018,"<p><b>Defending Economic Livelihoods and Threatened Animals Act or the DELTA Act</b></p> <p>This bill directs the Department of State and the U.S. Agency for International Development to work with Angola, Botswana, Namibia, and neighboring countries to develop a strategy to: (1) promote responsible natural resource and wildlife management practices in the greater Okavango River Basin, (2) protect migration routes of elephants and other threatened wildlife species, (3) combat wildlife poaching and trafficking, (4) address local health needs, and (5) catalyze economic growth. The strategy shall also involve partnerships with donors, the private sector, and local, regional, and nongovernmental entities.</p>"
H.R. 4743,https://www.congress.gov/bill/115th-congress/house-bill/4743,115th Congress (2017-2018),Small Business 7(a) Lending Oversight Reform Act of 2018,"Chabot, Steve [Rep.-R-OH-1]",Republican,01/09/2018,Became Public Law No: 115-189.,06/21/2018,"<p><b>Small Business 7(a) Lending Oversight Reform Act of 2018</b></p> <p>(Sec. 3) This bill amends the Small Business Act to provide statutory authority for the Small Business Administration (SBA) Office of Credit Risk Management (OCRM) and the SBA Lender Oversight Committee.</p> <p>The bill modifies the OCRM's supervisory duties and the committee's review of OCRM formal enforcement action recommendations. The bill requires OCRM to supervise:</p> <ul> <li> lenders making loans under the SBA's guaranteed loan program, commonly known as 7(a) lenders;</li> <li>lending partners or SBA intermediary participants in a lending program of the SBA's Office of Capital Access; </li> <li>small business lending companies; and </li> <li>nonfederally regulated lenders.</li> </ul> <p>The OCRM may assess a monetary penalty against lenders that violate requirements.</p> <p>(Sec. 4) Under current law, a borrower is ineligible for an SBA guaranteed loan if the applicant may obtain credit elsewhere. The term ""credit elsewhere"" is redefined to include the availability of credit on reasonable terms and conditions to the loan applicant from nongovernment sources, considering factors associated with conventional lending practices, including:</p> <ul> <li>the business industry in which the applicant operates;</li> <li>whether the applicant is an enterprise that has been in operation for two years or less;</li> <li>the adequacy of the collateral available to secure the requested loan;</li> <li>the loan term necessary to reasonably assure the ability of the loan applicant to repay the debt from the business's actual or projected cash flow; and</li> <li>any other factors relating to the particular credit application, as documented in detail by the lender, that cannot be overcome except through obtaining a federal loan guarantee under prudent lending standards.</li> </ul> <p>Such term is inapplicable to certain SBA guaranteed loans to repair, rehabilitate, or replace property damaged or destroyed by or resulting from natural or other disasters.</p> <p>(Sec. 5) The SBA may, with congressional approval, increase the cap for general business loans if the cap will be reached within that fiscal year. An increase may only be implemented once each fiscal year.</p> <p>(Sec. 6) SBA waivers of regulations or requirements in the Standard Operating Procedures Manual or Policy Notice related to an Office of Capital Access's program or function must be in writing and maintained in an index.</p> <p>(Sec 7) The bill repeals a requirement for the SBA to report certain information to the President and Congress, including the number and amount of loan defaults.</p>"
H.R. 4722,https://www.congress.gov/bill/115th-congress/house-bill/4722,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 111 Market Street in Saugerties, New York, as the ""Maurice D. Hinchey Post Office Building"".","Faso, John J. [Rep.-R-NY-19]",Republican,12/21/2017,Became Public Law No: 115-216.,07/24/2018,"<p>(Sec. 1) Designates the facility of the United States Postal Service located at 111 Market Street in Saugerties, New York, as the ""Maurice D. Hinchey Post Office Building.""</p>"
H.R. 4708,https://www.congress.gov/bill/115th-congress/house-bill/4708,115th Congress (2017-2018),Department of Homeland Security Blue Campaign Authorization Act,"McCaul, Michael T. [Rep.-R-TX-10]",Republican,12/21/2017,Became Public Law No: 115-125.,02/14/2018,"<p>(This measure has not been amended since it was introduced. The expanded summary of the House passed version is repeated here.) </p> <p><strong>Department of Homeland Security Blue Campaign Authorization Act</strong></p> <p>(Sec. 2) This bill amends the Homeland Security Act of 2002 to authorize in the Department of Homeland Security (DHS) a program to be known as the Blue Campaign, the purpose of which shall be to unify and coordinate DHS efforts to address human trafficking.</p> <p>The campaign director shall issue DHS-wide guidance to and develop training programs for appropriate DHS personnel, coordinate departmental efforts, and provide guidance and training on trauma-informed practices to ensure that human trafficking victims are afforded prompt access to victim support service providers and assistance to address their immediate and long-term needs.</p> <p>Such campaign shall provide guidance and training to DHS personnel and other federal, state, tribal, and law enforcement personnel regarding:</p> <ul> <li>programs to help identify instances of human trafficking; </li> <li>the types of information that should be collected and recorded in DHS information technology systems to identify individuals suspected or convicted of human trafficking; </li> <li>systematic and routine information sharing within DHS and among federal, state, tribal, and local law enforcement agencies regarding such individuals and patterns and practices of human trafficking; </li> <li>techniques to identify suspected victims of trafficking along the U.S. border and at airport security checkpoints; </li> <li>methods to be used by the Transportation Security Administration (TSA) and personnel from other appropriate agencies to train TSA employees to identify suspected trafficking victims and to serve as a liaison and resource regarding human trafficking prevention to appropriate state, local, and private sector aviation workers and the traveling public; </li> <li>utilizing resources to educate partners and stakeholders and increase public awareness of human trafficking; and </li> <li>leveraging partnerships with state and local governmental, non-governmental, and private sector organizations to raise public awareness of human trafficking. </li></ul> <p>(Sec. 3) DHS shall: (1) ensure the integration of information technology systems utilized within DHS to record and track information regarding individuals suspected or convicted of human trafficking; and (2) report to Congress on the status and effectiveness of, and providing a recommendation regarding the appropriate office within DHS for, the Blue Campaign.</p>"
H.R. 4689,https://www.congress.gov/bill/115th-congress/house-bill/4689,115th Congress (2017-2018),To authorize early repayment of obligations to the Bureau of Reclamation within the Northport Irrigation District in the State of Nebraska.,"Smith, Adrian [Rep.-R-NE-3]",Republican,12/19/2017,Became Public Law No: 115-429.,01/10/2019,"<p>(Sec. 1) This bill authorizes any landowner within the Northport Irrigation District in Nebraska to repay, at any time, the construction costs of project facilities allocated to the landowner's land within the district. Upon discharge in full of the obligation for repayment of all such costs, the parcels of land may not be subject to the ownership and full-cost pricing limitations under federal reclamation law. The Department of the Interior, upon request, must provide to the landowner who has repaid such costs in full a certificate acknowledging that the landholding is free of such limitations.</p>"
H.R. 4685,https://www.congress.gov/bill/115th-congress/house-bill/4685,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 515 Hope Street in Bristol, Rhode Island, as the ""First Sergeant P. Andrew McKenna Jr. Post Office"".","Cicilline, David N. [Rep.-D-RI-1]",Democratic,12/19/2017,Became Public Law No: 115-215.,07/24/2018,"<p>(Sec. 1) Designates the facility of the United States Postal Service located at 515 Hope Street in Bristol, Rhode Island, as the ""First Sergeant P. Andrew McKenna Jr. Post Office.""</p>"
H.R. 4661,https://www.congress.gov/bill/115th-congress/house-bill/4661,115th Congress (2017-2018),"United States Fire Administration, AFG, and SAFER Program Reauthorization Act of 2017","Comstock, Barbara [Rep.-R-VA-10]",Republican,12/15/2017,Became Public Law No: 115-98.,01/03/2018,"<p>(This measure has not been amended since it was introduced. The expanded summary of the House passed version is repeated here.)</p> <p><strong>United States Fire Administration, AFG, and SAFER Program Reauthorization Act of 2017</strong></p> <p>This bill amends the the Federal Fire Prevention and Control Act of 1974 to: (1) reauthorize through FY2024 the Assistance to Firefighters Grants (AFG) Program, the Fire Prevention and Safety Grants (FPSG) Program, and the Staffing for Adequate Fire and Emergency Response Grant (SAFER) Program, and reauthorizes provisions regarding firefighting technology evaluation and standards development; and (2) authorize the use of AFG Program grants, instead of SAFER Program grants, to provide specialized training to first responders on how to recognize and properly intervene with individuals with mental illness.</p> <p>The SAFER Program is revised to permit the use of grants to change the status of part-time or paid-on-call firefighters to full-time firefighters.</p> <p>The United States Fire Administration (USFA) may develop and make widely available an electronic, online training course for members of the fire and emergency response community on matters related to the administration of AFG, FPSG, and SAFER grants. The Federal Emergency Management Agency (FEMA) shall ensure that any such training is: (1) tailored to the financial and time constraints of members of the fire and emergency response community; and (2) accessible to all individuals in the career, combination, paid-on-call, and volunteer fire and emergency response community.</p> <p>The USFA shall develop and implement a grant monitoring and oversight framework to mitigate and minimize risks of fraud, waste, abuse, and mismanagement relating to such grants programs.</p>"
H.R. 4646,https://www.congress.gov/bill/115th-congress/house-bill/4646,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 1900 Corporate Drive in Birmingham, Alabama, as the ""Lance Corporal Thomas E. Rivers, Jr. Post Office Building"".","Palmer, Gary J. [Rep.-R-AL-6]",Republican,12/14/2017,Became Public Law No: 115-214.,07/24/2018,"<p>(Sec. 1) Designates the facility of the United States Postal Service located at 1900 Corporate Drive in Birmingham, Alabama, as the ""Lance Corporal Thomas E. Rivers, Jr. Post Office Building.""</p>"
H.R. 4645,https://www.congress.gov/bill/115th-congress/house-bill/4645,115th Congress (2017-2018),East Rosebud Wild and Scenic Rivers Act,"Gianforte, Greg [Rep.-R-MT-At Large]",Republican,12/14/2017,Became Public Law No: 115-229.,08/02/2018,<p><b>East Rosebud Wild and Scenic Rivers Act</b></p> <p> (Sec. 3) This bill amends the Wild and Scenic Rivers Act to designate specified river segments of the East Rosebud Creek in Montana as components of the National Wild and Scenic Rivers System. </p>
H.R. 4641,https://www.congress.gov/bill/115th-congress/house-bill/4641,115th Congress (2017-2018),To authorize the President to award the Medal of Honor to John L. Canley for acts of valor during the Vietnam War while a member of the Marine Corps.,"Brownley, Julia [Rep.-D-CA-26]",Democratic,12/13/2017,Became Private Law No: 115-1.,01/29/2018," <p>The President may award the Medal of Honor to John L. Canley for his acts of valor during the Vietnam War as a member of the Marine Corps, for which he was previously awarded the Navy Cross.</p>"
H.R. 4574,https://www.congress.gov/bill/115th-congress/house-bill/4574,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 108 West Schick Road in Bloomingdale, Illinois, as the ""Bloomingdale Veterans Memorial Post Office Building"".","Krishnamoorthi, Raja [Rep.-D-IL-8]",Democratic,12/06/2017,Became Public Law No: 115-213.,07/24/2018,"<p>(Sec. 1) Designates the facility of the United States Postal Service located at 108 West Schick Road in Bloomingdale, Illinois, as the ""Bloomingdale Veterans Memorial Post Office Building.""</p>"
H.R. 4547,https://www.congress.gov/bill/115th-congress/house-bill/4547,115th Congress (2017-2018),Strengthening Protections for Social Security Beneficiaries Act of 2018,"Johnson, Sam [Rep.-R-TX-3]",Republican,12/05/2017,Became Public Law No: 115-165.,04/13/2018,"<p><strong>Strengthening Protections for Social Security Beneficiaries Act of 2018</strong></p> <p>TITLE I--STRENGTHENING OVERSIGHT AND BENEFICIARY PROTECTION</p> <p>(Sec. 101) This bill requires the Social Security Administration (SSA) to make annual grants to each state's protection and advocacy system for the purpose of conducting reviews of representative payees under the Supplemental Security Income (SSI) program and the Old Age, Survivors, and Disability Insurance (OASDI) program. The SSA must also conduct periodic onsite reviews of individual and organizational payees.</p> <p>(Sec. 102) The bill lessens certain monitoring requirements with respect to specified&nbsp;family members&nbsp;who are serving as representative payees.</p> <p>(Sec. 103)&nbsp;The SSA must: (1) enter into agreements with each state for the purpose of sharing information to identify represented minor beneficiaries who are in foster care; and (2) determine the appropriate representative payee for any represented minor beneficiary who has entered foster care, exited foster care, or changed foster care placement in a given month.</p> <p>The Government Accountability Office must report to specified congressional committees on certain issues related to represented minor beneficiaries in foster care.</p> <p>(Sec. 104) The bill modifies provisions related to overpayment liability with respect to a represented minor beneficiary in foster care.</p> <p>(Sec. 105) The SSA must report to specified congressional committees on&nbsp;certain issues related to representative payment with respect to SSI and OASDI benefits.</p> <p>TITLE II--IMPROVING PAYEE SELECTION AND QUALITY</p> <p>(Sec. 201) The bill provides for advance designation of representative payees.</p> <p>(Sec. 202) In general, an individual who has been convicted of&nbsp;a felony, or of an attempt or a conspiracy to commit a felony, may not serve as a representative payee.</p> <p>(Sec. 203) An&nbsp;individual&nbsp;who has&nbsp;a representative payee may not also serve as a representative payee. </p>"
H.R. 4533,https://www.congress.gov/bill/115th-congress/house-bill/4533,115th Congress (2017-2018),"To designate the health care system of the Department of Veterans Affairs in Lexington, Kentucky, as the ""Lexington VA Health Care System"" and to make certain other designations.","Barr, Andy [Rep.-R-KY-6]",Republican,12/04/2017,Became Public Law No: 115-132.,03/09/2018,"<p>(Sec. 2) This bill designates the Department of Veterans Affairs: (1) health care system in Lexington, Kentucky, as the &quot;Lexington VA Health Care System,&quot; (2) health care facility at 1101 Veterans Drive, Lexington, Kentucky, as the &quot;Troy Bowling Campus,&quot; and (3) health care facility at 2250 Leestown Road, Lexington, Kentucky, as the &quot;Franklin R. Sousley Campus.&quot;</p>"
H.R. 4528,https://www.congress.gov/bill/115th-congress/house-bill/4528,115th Congress (2017-2018),"To make technical amendments to certain marine fish conservation statutes, and for other purposes.","Soto, Darren [Rep.-D-FL-9]",Democratic,12/01/2017,Became Public Law No: 115-228.,08/02/2018,"<p>(Sec.	1)	This bill amends the Billfish Conservation Act of 2012 to limit the sale of billfish caught by U.S. fishing vessels.</p> <p>Under current law, billfish that are caught by U.S. vessels and landed (unloaded onshore) in Hawaii or Pacific Insular Areas (American Samoa, Baker Island, Guam, Howland Island, Jarvis Island, Johnston Atoll, Kingman Reef, Midway Island, the Northern Mariana Islands, Palmyra Atoll, and Wake Island) may be sold and exported to non-U.S. markets or transported to other U.S. markets. </p> <p>This bill requires billfish caught by U.S. vessels and landed in Hawaii or Pacific Insular Areas to be retained for sale in those areas.</p>"
H.R. 4463,https://www.congress.gov/bill/115th-congress/house-bill/4463,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 6 Doyers Street in New York, New York, as the ""Mabel Lee Memorial Post Office"".","Velazquez, Nydia M. [Rep.-D-NY-7]",Democratic,11/28/2017,Became Public Law No: 115-212.,07/24/2018,"<p>(Sec. 1) Designates the facility of the United States Postal Service located at 6 Doyers Street in New York, New York, as the ""Mabel Lee Memorial Post Office.""</p>"
H.R. 4431,https://www.congress.gov/bill/115th-congress/house-bill/4431,115th Congress (2017-2018),Correcting Miscalculations in Veterans' Pensions Act,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",Republican,11/16/2017,Became Public Law No: 115-352.,12/21/2018," <p><strong>Correcting Miscalculations in Veterans' Pensions Act</strong></p> <p>This bill authorizes federal agencies to pay on behalf of an employee, Member, or annuitant any additional interest assessed as a result of certain administrative errors in processing annuity deposit amount. Specifically, in calculating amounts that employees with prior military service may pay into their federal retirement account, an agency may pay interest that accrues to the employee for the agency's calculation error.</p>"
H.R. 4407,https://www.congress.gov/bill/115th-congress/house-bill/4407,115th Congress (2017-2018),"An act to designate the facility of the United States Postal Service located at 3s101 Rockwell Street in Warrenville, Illinois, as the ""Corporal Jeffrey Allen Williams Post Office Building"".","Hultgren, Randy [Rep.-R-IL-14]",Republican,11/15/2017,Became Public Law No: 115-316.,12/14/2018,"<p>Designates the facility of the United States Postal Service located at 3s101 Rockwell Street in Warrenville, Illinois, as the ""Corporal Jeffrey Allen Williams Post Office Building.""</p>"
H.R. 4406,https://www.congress.gov/bill/115th-congress/house-bill/4406,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 99 Macombs Place in New York, New York, as the ""Tuskegee Airmen Post Office Building"".","Espaillat, Adriano [Rep.-D-NY-13]",Democratic,11/15/2017,Became Public Law No: 115-211.,07/24/2018,"<p>(Sec. 1) Designates the facility of the United States Postal Service located at 99 Macombs Place in New York, New York, as the ""Tuskegee Airmen Post Office Building.""</p>"
